,0
314,4
315,5
316,3
317,3
318,3
319,5
320,3
321,6
322,5
323,3
324,3
325,3
326,3
327,4
328,4
329,6
330,3
331,5
332,4
333,3
334,6
335,6
336,4
337,4
338,5
339,3
340,2
341,5
342,5
343,3
344,3
345,6
346,5
347,5
348,3
349,3
350,3
351,5
352,3
353,6
354,4
355,6
356,3
357,2
358,4
359,4
360,2
361,2
362,4
363,7
364,3
365,5
366,5
367,5
368,4
369,3
370,2
371,5
372,3
373,3
374,7
375,6
376,6
377,3
378,3
379,5
380,6
381,3
382,5
383,4
384,1
385,4
386,4
387,4
388,2
389,3
390,5
391,6
392,5
393,3
394,6
395,4
396,5
397,5
398,2
399,2
400,1
401,5
402,4
403,1
404,3
405,6
406,6
407,5
408,3
409,2
410,6
411,2
412,4
413,4
414,3
415,5
416,4
417,1
418,6
419,4
420,5
421,5
422,3
423,6
424,6
425,7
426,4
427,3
428,5
429,3
430,5
431,4
432,1
433,4
434,5
435,5
436,5
437,4
438,4
439,3
440,5
441,5
442,6
443,7
444,4
445,6
446,4
447,4
448,5
449,3
450,5
451,7
452,5
453,6
454,3
455,3
456,6
457,5
458,4
459,6
460,6
461,4
462,5
463,3
464,6
465,5
466,2
467,4
468,3
469,5
470,7
471,7
472,3
473,7
474,5
475,7
476,5
477,4
478,1
479,5
480,4
481,2
482,3
483,5
484,5
485,2
486,6
487,7
488,4
489,2
490,0
491,2
492,4
493,5
494,4
495,5
496,4
497,4
498,4
499,4
500,3
501,3
502,3
503,6
504,5
505,0
506,1
507,1
508,3
509,5
510,3
511,3
512,2
513,4
514,3
515,7
516,5
517,3
518,4
519,6
520,3
521,6
522,4
523,5
524,4
525,3
526,2
527,2
528,6
529,6
530,6
531,3
532,4
533,6
534,2
535,4
536,3
537,7
538,5
539,4
540,3
541,4
542,3
543,3
544,4
545,3
546,6
547,3
548,6
549,5
550,3
551,4
552,3
553,2
554,3
555,7
556,2
557,5
558,2
559,3
560,4
561,3
562,4
563,6
564,4
565,5
566,6
567,4
568,3
569,4
570,6
571,4
572,3
573,5
574,3
575,1
576,6
577,7
578,3
579,5
580,4
581,1
582,4
583,6
584,4
585,3
586,1
587,5
588,2
589,4
590,5
591,5
592,5
593,3
594,4
595,6
596,1
597,4
598,3
599,4
600,5
601,4
602,7
603,4
604,3
605,5
606,4
607,6
608,3
609,4
610,4
611,6
612,6
613,1
614,5
615,6
616,5
617,2
618,4
619,5
620,5
621,3
622,6
623,5
624,1
625,4
626,6
627,6
628,2
629,3
630,4
631,2
632,2
633,6
634,5
635,3
636,3
637,3
638,4
639,3
640,5
641,4
642,3
643,5
644,3
645,3
646,4
647,3
648,6
649,2
650,4
651,5
652,4
653,5
654,4
655,4
656,5
657,4
658,1
659,5
660,4
661,5
662,2
663,5
664,7
665,2
666,4
667,3
668,5
669,5
670,3
671,6
672,5
673,5
674,4
675,4
676,1
677,6
678,5
679,3
680,2
681,3
682,4
683,5
684,6
685,2
686,4
687,3
688,4
689,4
690,4
691,4
692,7
693,5
694,4
695,4
696,4
697,4
698,3
699,5
700,5
701,5
702,4
703,2
704,4
705,4
706,3
707,2
708,3
709,2
710,4
711,4
712,6
713,6
714,1
715,4
716,3
717,2
718,4
719,4
720,3
721,5
722,3
723,2
724,5
725,4
726,3
727,1
728,4
729,3
730,4
731,5
732,5
733,2
734,3
735,4
736,6
737,1
738,0
739,6
740,4
741,4
742,4
743,4
744,2
745,4
746,5
747,5
748,5
749,4
750,4
751,4
752,2
753,4
754,4
755,2
756,3
757,3
758,6
759,5
760,4
761,4
762,2
763,3
764,1
765,6
766,3
767,6
768,5
769,5
770,1
771,2
772,4
773,3
774,5
775,5
776,5
777,6
778,2
779,3
780,3
781,7
782,4
783,3
784,3
785,4
786,4
787,4
788,4
789,3
790,2
791,4
792,5
793,2
794,6
795,1
796,4
797,4
798,5
799,4
800,4
801,3
802,5
803,1
804,5
805,4
806,5
807,5
808,3
809,5
810,2
811,6
812,4
813,3
814,5
815,1
816,5
817,6
818,5
819,2
820,2
821,4
822,1
823,3
824,3
825,4
826,3
827,5
828,2
829,5
830,3
831,3
832,4
833,5
834,4
835,6
836,5
837,6
838,3
839,1
840,4
841,4
842,4
843,4
844,3
845,3
846,4
847,5
848,2
849,3
850,2
851,4
852,4
853,4
854,4
855,3
856,4
857,4
858,5
859,4
860,4
861,4
862,4
863,6
864,4
865,3
866,3
867,5
868,4
869,4
870,2
871,5
872,3
873,4
874,3
875,1
876,4
877,3
878,5
879,4
880,3
881,4
882,4
883,5
884,4
885,4
886,3
887,6
888,6
889,5
890,3
891,2
892,4
893,5
894,5
895,5
896,4
897,5
898,5
899,5
900,4
901,2
902,3
903,3
904,5
905,0
906,4
907,2
908,2
909,6
910,3
911,2
912,4
913,6
914,4
915,4
916,6
917,3
918,4
919,3
920,1
921,5
922,5
923,4
924,3
925,4
926,4
927,5
928,2
929,3
930,3
931,3
932,3
933,4
934,4
935,2
936,4
937,5
938,6
939,5
940,4
941,6
942,3
943,5
944,2
945,2
946,4
947,7
948,6
949,5
950,7
951,4
952,4
953,7
954,1
955,5
956,3
957,5
958,6
959,4
960,3
961,6
962,6
963,4
964,2
965,4
966,5
967,4
968,6
969,4
970,1
971,3
972,6
973,3
974,3
975,3
976,6
977,5
978,2
979,5
980,6
981,5
982,4
983,7
984,5
985,7
986,3
987,3
988,4
989,4
990,5
991,5
992,3
993,4
994,3
995,5
996,3
997,6
998,3
999,6
